"Author","Confidence-Score-score","Detection Method","Detection Method ID","interaction","Interaction Type","Module_Edge_Color","name","Primary Interaction Type","Publication DB","Publication ID","selected","shared interaction","shared name","Source Database"
"Vinayagam A (2011)",,"two hybrid","MI:0018","600978","direct interaction","-1","1785 (600978) 2661","direct interaction","pubmed","21900206","false","600978","1785 (600978) 2661","psi-mi"
"Hein MY (2015)",,"affinity chromatography technology","MI:0004","1453822","physical association","-1","6134 (1453822) 51776","physical association","pubmed","26496610","false","1453822","6134 (1453822) 51776","psi-mi"
"Roux KJ (2012)",,"bioid","MI:1313","871726","physical association","-1","4000 (871726) 63932","physical association","pubmed","22412018","false","871726","4000 (871726) 63932","psi-mi"
"Vinayagam A (2011)",,"two hybrid","MI:0018","601982","direct interaction","-1","10253 (601982) 1785","direct interaction","pubmed","21900206","false","601982","10253 (601982) 1785","psi-mi"
"Hein MY (2015)",,"affinity chromatography technology","MI:0004","1453823","physical association","-1","7515 (1453823) 51776","physical association","pubmed","26496610","false","1453823","7515 (1453823) 51776","psi-mi"
"Roux KJ (2012)",,"bioid","MI:1313","871727","physical association","-1","4000 (871727) 8407","physical association","pubmed","22412018","false","871727","4000 (871727) 8407","psi-mi"
"Salcini AE (2001)",,"affinity chromatography technology","MI:0004","286756","physical association","-1","2060 (286756) 1785","physical association","pubmed","11483962","false","286756","2060 (286756) 1785","psi-mi"
"Okamoto PM (2001)",,"affinity chromatography technology","MI:0004","300607","physical association","-1","1785 (300607) 50944","physical association","pubmed","11583995","false","300607","1785 (300607) 50944","psi-mi"
"Hein MY (2015)",,"affinity chromatography technology","MI:0004","1453824","physical association","-1","9694 (1453824) 51776","physical association","pubmed","26496610","false","1453824","9694 (1453824) 51776","psi-mi"
"Roux KJ (2012)",,"bioid","MI:1313","871728","physical association","-1","4000 (871728) 29058","physical association","pubmed","22412018","false","871728","4000 (871728) 29058","psi-mi"
"Okamoto PM (2001)",,"affinity chromatography technology","MI:0004","300608","physical association","-1","1785 (300608) 22941","physical association","pubmed","11583995","false","300608","1785 (300608) 22941","psi-mi"
"Okamoto PM (2001)",,"pull down","MI:0096","300609","direct interaction","-1","1785 (300609) 22941","direct interaction","pubmed","11583995","false","300609","1785 (300609) 22941","psi-mi"
"Hein MY (2015)",,"affinity chromatography technology","MI:0004","1453825","physical association","-1","11130 (1453825) 51776","physical association","pubmed","26496610","false","1453825","11130 (1453825) 51776","psi-mi"
"Roux KJ (2012)",,"bioid","MI:1313","871729","physical association","-1","4000 (871729) 348110","physical association","pubmed","22412018","false","871729","4000 (871729) 348110","psi-mi"
"Okamoto PM (2001)",,"pull down","MI:0096","300610","direct interaction","-1","1785 (300610) 50944","direct interaction","pubmed","11583995","false","300610","1785 (300610) 50944","psi-mi"
"Hein MY (2015)",,"affinity chromatography technology","MI:0004","1453826","physical association","-1","50855 (1453826) 51776","physical association","pubmed","26496610","false","1453826","50855 (1453826) 51776","psi-mi"
"Roux KJ (2012)",,"bioid","MI:1313","871730","physical association","-1","4000 (871730) 51759","physical association","pubmed","22412018","false","871730","4000 (871730) 51759","psi-mi"
"Kim L (1998)",,"biochemical","MI:0401","274961","colocalization","-1","2241 (274961) 1785","colocalization","pubmed","9722593","false","274961","2241 (274961) 1785","psi-mi"
"Yu H (2011)",,"two hybrid","MI:0018","1438500","direct interaction","-1","163081 (1438500) 51776","direct interaction","pubmed","21516116","false","1438500","163081 (1438500) 51776","psi-mi"
"Kirli K (2015)",,"affinity chromatography technology","MI:0004","1439833","physical association","-1","7514 (1439833) 51776","physical association","pubmed","26673895","false","1439833","7514 (1439833) 51776","psi-mi"
"Roux KJ (2012)",,"bioid","MI:1313","871731","physical association","-1","4000 (871731) 11333","physical association","pubmed","22412018","false","871731","4000 (871731) 11333","psi-mi"
"Jeronimo C (2007)","0.98877","affinity chromatography technology","MI:0004","424928","physical association","-1","10856 (424928) 1785","physical association","pubmed","17643375","false","424928","10856 (424928) 1785","psi-mi"
"Roux KJ (2012)",,"bioid","MI:1313","871732","physical association","-1","4000 (871732) 57003","physical association","pubmed","22412018","false","871732","4000 (871732) 57003","psi-mi"
"Jeronimo C (2007)","0.828115","affinity chromatography technology","MI:0004","425127","physical association","-1","56257 (425127) 1785","physical association","pubmed","17643375","false","425127","56257 (425127) 1785","psi-mi"
"Roux KJ (2012)",,"bioid","MI:1313","871733","physical association","-1","4000 (871733) 64215","physical association","pubmed","22412018","false","871733","4000 (871733) 64215","psi-mi"
"Jeronimo C (2007)","0.757027","affinity chromatography technology","MI:0004","425183","physical association","-1","79871 (425183) 1785","physical association","pubmed","17643375","false","425183","79871 (425183) 1785","psi-mi"
"Rolland T (2014)",,"two hybrid","MI:0018","1047502","direct interaction","-1","51776 (1047502) 80108","direct interaction","pubmed","25416956","false","1047502","51776 (1047502) 80108","psi-mi"
"Rolland T (2014)",,"two hybrid","MI:0018","1047503","direct interaction","-1","51776 (1047503) 163081","direct interaction","pubmed","25416956","false","1047503","51776 (1047503) 163081","psi-mi"
"Roux KJ (2012)",,"bioid","MI:1313","871734","physical association","-1","4000 (871734) 55100","physical association","pubmed","22412018","false","871734","4000 (871734) 55100","psi-mi"
"Jeronimo C (2007)","0.682073","affinity chromatography technology","MI:0004","425266","physical association","-1","2961 (425266) 1785","physical association","pubmed","17643375","false","425266","2961 (425266) 1785","psi-mi"
"Abdelmohsen K (2009)",,"affinity chromatography technology","MI:0004","662917","physical association","-1","1994 (662917) 51776","physical association","pubmed","19322201","false","662917","1994 (662917) 51776","psi-mi"
"Roux KJ (2012)",,"bioid","MI:1313","871735","physical association","-1","4000 (871735) 7737","physical association","pubmed","22412018","false","871735","4000 (871735) 7737","psi-mi"
"Brehme M (2009)",,"affinity chromatography technology","MI:0004","726145","physical association","-1","2885 (726145) 1785","physical association","pubmed","19380743","false","726145","2885 (726145) 1785","psi-mi"
"Huttlin EL (2017)","0.884231373","affinity chromatography technology","MI:0004","2260640","physical association","-1","58491 (2260640) 51776","physical association","pubmed","28514442","false","2260640","58491 (2260640) 51776","psi-mi"
"Roux KJ (2012)",,"bioid","MI:1313","871736","physical association","-1","4000 (871736) 10652","physical association","pubmed","22412018","false","871736","4000 (871736) 10652","psi-mi"
"Brehme M (2009)",,"affinity chromatography technology","MI:0004","726366","physical association","-1","6464 (726366) 1785","physical association","pubmed","19380743","false","726366","6464 (726366) 1785","psi-mi"
"Huttlin EL (2017)","0.999998116","affinity chromatography technology","MI:0004","2221025","physical association","-1","7770 (2221025) 51776","physical association","pubmed","28514442","false","2221025","7770 (2221025) 51776","psi-mi"
"Roux KJ (2012)",,"bioid","MI:1313","871737","physical association","-1","4000 (871737) 7444","physical association","pubmed","22412018","false","871737","4000 (871737) 7444","psi-mi"
"Havugimana PC (2012)","0.824","biochemical","MI:0401","750129","colocalization","-1","1785 (750129) 8301","colocalization","pubmed","22939629","false","750129","1785 (750129) 8301","psi-mi"
"Huttlin EL (2017)","0.999999953","affinity chromatography technology","MI:0004","2218189","physical association","-1","27300 (2218189) 51776","physical association","pubmed","28514442","false","2218189","27300 (2218189) 51776","psi-mi"
"Roux KJ (2012)",,"bioid","MI:1313","871738","physical association","-1","4000 (871738) 493856","physical association","pubmed","22412018","false","871738","4000 (871738) 493856","psi-mi"
"Havugimana PC (2012)","0.821","biochemical","MI:0401","750269","colocalization","-1","1785 (750269) 5937","colocalization","pubmed","22939629","false","750269","1785 (750269) 5937","psi-mi"
"Roux KJ (2012)",,"bioid","MI:1313","871739","physical association","-1","4000 (871739) 2017","physical association","pubmed","22412018","false","871739","4000 (871739) 2017","psi-mi"
"Bottero V (2001)",,"pull down","MI:0096","555111","direct interaction","-1","291 (555111) 4792","direct interaction","pubmed","11287411","false","555111","291 (555111) 4792","psi-mi"
"Havugimana PC (2012)","0.761","biochemical","MI:0401","753768","colocalization","-1","1785 (753768) 64924","colocalization","pubmed","22939629","false","753768","1785 (753768) 64924","psi-mi"
"Bottero V (2001)",,"affinity chromatography technology","MI:0004","555112","physical association","-1","291 (555112) 4792","physical association","pubmed","11287411","false","555112","291 (555112) 4792","psi-mi"
"Roux KJ (2012)",,"bioid","MI:1313","871740","physical association","-1","4000 (871740) 55379","physical association","pubmed","22412018","false","871740","4000 (871740) 55379","psi-mi"
"Bottero V (2001)",,"affinity chromatography technology","MI:0004","555113","physical association","-1","4792 (555113) 291","physical association","pubmed","11287411","false","555113","4792 (555113) 291","psi-mi"
"Roux KJ (2012)",,"bioid","MI:1313","871741","physical association","-1","4000 (871741) 23607","physical association","pubmed","22412018","false","871741","4000 (871741) 23607","psi-mi"
"Liu X (2012)",,"affinity chromatography technology","MI:0004","858686","physical association","-1","54806 (858686) 1785","physical association","pubmed","22623184","false","858686","54806 (858686) 1785","psi-mi"
"Liu X (2012)",,"affinity chromatography technology","MI:0004","858687","physical association","-1","54806 (858687) 1785","physical association","pubmed","22623184","false","858687","54806 (858687) 1785","psi-mi"
"Baines CP (2003)",,"affinity chromatography technology","MI:0004","259618","physical association","-1","5581 (259618) 291","physical association","pubmed","12663490","false","259618","5581 (259618) 291","psi-mi"
"Roux KJ (2012)",,"bioid","MI:1313","871742","physical association","-1","4000 (871742) 1983","physical association","pubmed","22412018","false","871742","4000 (871742) 1983","psi-mi"
"Hashimoto S (2006)",,"affinity chromatography technology","MI:0004","824678","physical association","-1","2017 (824678) 1785","physical association","pubmed","16636290","false","824678","2017 (824678) 1785","psi-mi"
"Niture SK (2005)",,"affinity chromatography technology","MI:0004","481850","physical association","-1","4255 (481850) 291","physical association","pubmed","16226712","false","481850","4255 (481850) 291","psi-mi"
"Roux KJ (2012)",,"bioid","MI:1313","871743","physical association","-1","4000 (871743) 5110","physical association","pubmed","22412018","false","871743","4000 (871743) 5110","psi-mi"
"Olah J (2011)",,"pull down","MI:0096","737889","direct interaction","-1","1785 (737889) 351","direct interaction","pubmed","21832049","false","737889","1785 (737889) 351","psi-mi"
"Liu B (2012)",,"affinity chromatography technology","MI:0004","912782","physical association","-1","26270 (912782) 1785","physical association","pubmed","22268729","false","912782","26270 (912782) 1785","psi-mi"
"Richter R (2010)",,"affinity chromatography technology","MI:0004","566369","physical association","-1","3396 (566369) 291","physical association","pubmed","20186120","false","566369","3396 (566369) 291","psi-mi"
"Roux KJ (2012)",,"bioid","MI:1313","871744","physical association","-1","4000 (871744) 58477","physical association","pubmed","22412018","false","871744","4000 (871744) 58477","psi-mi"
"Garg A (2014)",,"affinity chromatography technology","MI:0004","957584","physical association","-1","56203 (957584) 131377","physical association","pubmed","24960163","false","957584","56203 (957584) 131377","psi-mi"
"Garg A (2014)",,"two hybrid","MI:0018","957586","direct interaction","-1","131377 (957586) 56203","direct interaction","pubmed","24960163","false","957586","131377 (957586) 56203","psi-mi"
"Lehner B (2004)",,"two hybrid","MI:0018","905347","direct interaction","-1","51678 (905347) 1785","direct interaction","pubmed","15231747","false","905347","51678 (905347) 1785","psi-mi"
"Marzo I (1998)",,"affinity chromatography technology","MI:0004","286217","physical association","-1","581 (286217) 291","physical association","pubmed","9748162","false","286217","581 (286217) 291","psi-mi"
"Roux KJ (2012)",,"bioid","MI:1313","871745","physical association","-1","4000 (871745) 1636","physical association","pubmed","22412018","false","871745","4000 (871745) 1636","psi-mi"
"Humphries JD (2009)",,"affinity chromatography technology","MI:0004","826880","physical association","-1","2335 (826880) 1785","physical association","pubmed","19738201","false","826880","2335 (826880) 1785","psi-mi"
"Marzo I (1998)",,"two hybrid","MI:0018","286218","direct interaction","-1","291 (286218) 581","direct interaction","pubmed","9748162","false","286218","291 (286218) 581","psi-mi"
"Huttlin EL (2017)","0.999989594","affinity chromatography technology","MI:0004","2223088","physical association","-1","131377 (2223088) 10324","physical association","pubmed","28514442","false","2223088","131377 (2223088) 10324","psi-mi"
"Humphries JD (2009)",,"affinity chromatography technology","MI:0004","826995","physical association","-1","7412 (826995) 1785","physical association","pubmed","19738201","false","826995","7412 (826995) 1785","psi-mi"
"Roux KJ (2012)",,"bioid","MI:1313","871746","physical association","-1","4000 (871746) 224","physical association","pubmed","22412018","false","871746","4000 (871746) 224","psi-mi"
"Soulet F (2005)",,"affinity chromatography technology","MI:0004","860056","physical association","-1","1785 (860056) 51429","physical association","pubmed","15703209","false","860056","1785 (860056) 51429","psi-mi"
"Rual JF (2005)",,"affinity chromatography technology","MI:0004","126264","physical association","-1","60 (126264) 1073","physical association","pubmed","16189514","false","126264","60 (126264) 1073","psi-mi"
"Roux KJ (2012)",,"bioid","MI:1313","871747","physical association","-1","4000 (871747) 27295","physical association","pubmed","22412018","false","871747","4000 (871747) 27295","psi-mi"
"Soulet F (2005)",,"pull down","MI:0096","860058","direct interaction","-1","51429 (860058) 1785","direct interaction","pubmed","15703209","false","860058","51429 (860058) 1785","psi-mi"
"Roux KJ (2012)",,"bioid","MI:1313","871748","physical association","-1","4000 (871748) 2194","physical association","pubmed","22412018","false","871748","4000 (871748) 2194","psi-mi"
"Soulet F (2005)",,"enzymatic study","MI:0415","860060","direct interaction","-1","1785 (860060) 51429","direct interaction","pubmed","15703209","false","860060","1785 (860060) 51429","psi-mi"
"Rual JF (2005)",,"affinity chromatography technology","MI:0004","126269","physical association","-1","71 (126269) 1073","physical association","pubmed","16189514","false","126269","71 (126269) 1073","psi-mi"
"Bang ML (2001)",,"two hybrid","MI:0018","10242","direct interaction","-1","4703 (10242) 84665","direct interaction","pubmed","11309420","false","10242","4703 (10242) 84665","psi-mi"
"Roux KJ (2012)",,"bioid","MI:1313","871749","physical association","-1","4000 (871749) 54901","physical association","pubmed","22412018","false","871749","4000 (871749) 54901","psi-mi"
"Bang ML (2001)",,"pull down","MI:0096","288923","direct interaction","-1","84665 (288923) 4703","direct interaction","pubmed","11309420","false","288923","84665 (288923) 4703","psi-mi"
"McStay GP (2002)",,"pull down","MI:0096","302785","direct interaction","-1","10105 (302785) 291","direct interaction","pubmed","12149099","false","302785","10105 (302785) 291","psi-mi"
"Ma K (2002)",,"pull down","MI:0096","301029","direct interaction","-1","4703 (301029) 84665","direct interaction","pubmed","12482578","false","301029","4703 (301029) 84665","psi-mi"
"Roux KJ (2012)",,"bioid","MI:1313","871750","physical association","-1","4000 (871750) 4841","physical association","pubmed","22412018","false","871750","4000 (871750) 4841","psi-mi"
"Rual JF (2005)",,"two hybrid","MI:0018","119586","direct interaction","-1","60 (119586) 1073","direct interaction","pubmed","16189514","false","119586","60 (119586) 1073","psi-mi"
"Roux KJ (2012)",,"bioid","MI:1313","871751","physical association","-1","4000 (871751) 3178","physical association","pubmed","22412018","false","871751","4000 (871751) 3178","psi-mi"
"Rual JF (2005)",,"two hybrid","MI:0018","119720","direct interaction","-1","71 (119720) 1073","direct interaction","pubmed","16189514","false","119720","71 (119720) 1073","psi-mi"
"Roux KJ (2012)",,"bioid","MI:1313","871752","physical association","-1","4000 (871752) 9879","physical association","pubmed","22412018","false","871752","4000 (871752) 9879","psi-mi"
"Huttlin EL (2015)","0.932357399","affinity chromatography technology","MI:0004","1195608","physical association","-1","6327 (1195608) 1785","physical association","pubmed","26186194","false","1195608","6327 (1195608) 1785","psi-mi"
"Wan C (2015)","0.226233338","biochemical","MI:0401","1258122","colocalization","-1","4626 (1258122) 88","colocalization","pubmed","26344197","false","1258122","4626 (1258122) 88","psi-mi"
"Roux KJ (2012)",,"bioid","MI:1313","871753","physical association","-1","4000 (871753) 5093","physical association","pubmed","22412018","false","871753","4000 (871753) 5093","psi-mi"
"Havugimana PC (2012)","0.829","biochemical","MI:0401","746306","colocalization","-1","291 (746306) 3921","colocalization","pubmed","22939629","false","746306","291 (746306) 3921","psi-mi"
"Garg A (2014)",,"affinity chromatography technology","MI:0004","957583","physical association","-1","4703 (957583) 131377","physical association","pubmed","24960163","false","957583","4703 (957583) 131377","psi-mi"
"Huttlin EL (2015)","0.994185543","affinity chromatography technology","MI:0004","1197619","physical association","-1","130574 (1197619) 1785","physical association","pubmed","26186194","false","1197619","130574 (1197619) 1785","psi-mi"
"Roux KJ (2012)",,"bioid","MI:1313","871754","physical association","-1","4000 (871754) 10949","physical association","pubmed","22412018","false","871754","4000 (871754) 10949","psi-mi"
"Garg A (2014)",,"two hybrid","MI:0018","957585","direct interaction","-1","131377 (957585) 4703","direct interaction","pubmed","24960163","false","957585","131377 (957585) 4703","psi-mi"
"Havugimana PC (2012)","0.793","biochemical","MI:0401","746403","colocalization","-1","291 (746403) 7384","colocalization","pubmed","22939629","false","746403","291 (746403) 7384","psi-mi"
"Meffre J (2012)",,"affinity chromatography technology","MI:0004","1238567","physical association","-1","3362 (1238567) 1785","physical association","pubmed","23027611","false","1238567","3362 (1238567) 1785","psi-mi"
"Roux KJ (2012)",,"bioid","MI:1313","871755","physical association","-1","4000 (871755) 11325","physical association","pubmed","22412018","false","871755","4000 (871755) 11325","psi-mi"
"Wan C (2015)","0.390968063","biochemical","MI:0401","1258118","colocalization","-1","4621 (1258118) 88","colocalization","pubmed","26344197","false","1258118","4621 (1258118) 88","psi-mi"
